geoName,die
Alabama,81
Alaska,75
Arizona,81
Arkansas,87
California,77
Colorado,76
Connecticut,80
Delaware,81
District of Columbia,66
Florida,75
Georgia,77
Hawaii,70
Idaho,81
Illinois,79
Indiana,94
Iowa,85
Kansas,80
Kentucky,88
Louisiana,86
Maine,84
Maryland,77
Massachusetts,80
Michigan,88
Minnesota,74
Mississippi,85
Missouri,84
Montana,75
Nebraska,82
Nevada,81
New Hampshire,86
New Jersey,82
New Mexico,81
New York,76
North Carolina,76
North Dakota,81
Ohio,85
Oklahoma,80
Oregon,75
Pennsylvania,87
Rhode Island,85
South Carolina,82
South Dakota,85
Tennessee,84
Texas,81
Utah,77
Vermont,83
Virginia,75
Washington,74
West Virginia,100
Wisconsin,84
Wyoming,86
