date,dismal,isPartial
2015-01-04,41,False
2015-01-11,39,False
2015-01-18,35,False
2015-01-25,39,False
2015-02-01,44,False
2015-02-08,50,False
2015-02-15,45,False
2015-02-22,32,False
2015-03-01,37,False
2015-03-08,37,False
2015-03-15,45,False
2015-03-22,40,False
2015-03-29,34,False
2015-04-05,35,False
2015-04-12,44,False
2015-04-19,43,False
2015-04-26,46,False
2015-05-03,41,False
2015-05-10,37,False
2015-05-17,50,False
2015-05-24,38,False
2015-05-31,51,False
2015-06-07,39,False
2015-06-14,28,False
2015-06-21,31,False
2015-06-28,31,False
2015-07-05,30,False
2015-07-12,29,False
2015-07-19,23,False
2015-07-26,28,False
2015-08-02,18,False
2015-08-09,39,False
2015-08-16,100,False
2015-08-23,83,False
2015-08-30,51,False
2015-09-06,55,False
2015-09-13,54,False
2015-09-20,49,False
2015-09-27,49,False
2015-10-04,46,False
2015-10-11,36,False
2015-10-18,57,False
2015-10-25,43,False
2015-11-01,53,False
2015-11-08,43,False
2015-11-15,44,False
2015-11-22,38,False
2015-11-29,52,False
2015-12-06,54,False
2015-12-13,48,False
2015-12-20,32,False
2015-12-27,33,False
