date,dismal,isPartial
2014-01-05,62,False
2014-01-12,89,False
2014-01-19,71,False
2014-01-26,63,False
2014-02-02,70,False
2014-02-09,61,False
2014-02-16,66,False
2014-02-23,97,False
2014-03-02,91,False
2014-03-09,65,False
2014-03-16,96,False
2014-03-23,78,False
2014-03-30,67,False
2014-04-06,87,False
2014-04-13,79,False
2014-04-20,69,False
2014-04-27,91,False
2014-05-04,77,False
2014-05-11,73,False
2014-05-18,80,False
2014-05-25,77,False
2014-06-01,47,False
2014-06-08,74,False
2014-06-15,64,False
2014-06-22,58,False
2014-06-29,56,False
2014-07-06,51,False
2014-07-13,52,False
2014-07-20,57,False
2014-07-27,70,False
2014-08-03,52,False
2014-08-10,42,False
2014-08-17,59,False
2014-08-24,57,False
2014-08-31,68,False
2014-09-07,76,False
2014-09-14,89,False
2014-09-21,100,False
2014-09-28,87,False
2014-10-05,84,False
2014-10-12,87,False
2014-10-19,69,False
2014-10-26,90,False
2014-11-02,72,False
2014-11-09,78,False
2014-11-16,67,False
2014-11-23,51,False
2014-11-30,100,False
2014-12-07,72,False
2014-12-14,78,False
2014-12-21,37,False
2014-12-28,59,False
