geoName,dismal
Alabama,14
Alaska,3
Arizona,6
Arkansas,3
California,6
Colorado,5
Connecticut,8
Delaware,10
District of Columbia,43
Florida,8
Georgia,5
Hawaii,8
Idaho,6
Illinois,7
Indiana,4
Iowa,4
Kansas,8
Kentucky,8
Louisiana,8
Maine,6
Maryland,25
Massachusetts,8
Michigan,7
Minnesota,7
Mississippi,11
Missouri,5
Montana,8
Nebraska,20
Nevada,8
New Hampshire,6
New Jersey,8
New Mexico,5
New York,7
North Carolina,22
North Dakota,0
Ohio,6
Oklahoma,4
Oregon,7
Pennsylvania,9
Rhode Island,12
South Carolina,10
South Dakota,0
Tennessee,6
Texas,7
Utah,4
Vermont,17
Virginia,100
Washington,6
West Virginia,9
Wisconsin,6
Wyoming,0
