date,dismal,isPartial
2013-01-06,84,False
2013-01-13,75,False
2013-01-20,48,False
2013-01-27,82,False
2013-02-03,73,False
2013-02-10,70,False
2013-02-17,83,False
2013-02-24,81,False
2013-03-03,71,False
2013-03-10,77,False
2013-03-17,73,False
2013-03-24,75,False
2013-03-31,61,False
2013-04-07,85,False
2013-04-14,51,False
2013-04-21,74,False
2013-04-28,62,False
2013-05-05,79,False
2013-05-12,71,False
2013-05-19,88,False
2013-05-26,79,False
2013-06-02,77,False
2013-06-09,70,False
2013-06-16,54,False
2013-06-23,53,False
2013-06-30,47,False
2013-07-07,41,False
2013-07-14,58,False
2013-07-21,48,False
2013-07-28,44,False
2013-08-04,75,False
2013-08-11,46,False
2013-08-18,66,False
2013-08-25,46,False
2013-09-01,71,False
2013-09-08,73,False
2013-09-15,87,False
2013-09-22,68,False
2013-09-29,93,False
2013-10-06,82,False
2013-10-13,100,False
2013-10-20,69,False
2013-10-27,51,False
2013-11-03,75,False
2013-11-10,79,False
2013-11-17,73,False
2013-11-24,41,False
2013-12-01,65,False
2013-12-08,60,False
2013-12-15,68,False
2013-12-22,44,False
2013-12-29,48,False
