date,dismal,isPartial
2016-01-03,67,False
2016-01-10,75,False
2016-01-17,62,False
2016-01-24,83,False
2016-01-31,72,False
2016-02-07,86,False
2016-02-14,64,False
2016-02-21,96,False
2016-02-28,87,False
2016-03-06,80,False
2016-03-13,73,False
2016-03-20,58,False
2016-03-27,68,False
2016-04-03,90,False
2016-04-10,82,False
2016-04-17,66,False
2016-04-24,88,False
2016-05-01,72,False
2016-05-08,73,False
2016-05-15,80,False
2016-05-22,60,False
2016-05-29,75,False
2016-06-05,65,False
2016-06-12,51,False
2016-06-19,42,False
2016-06-26,49,False
2016-07-03,39,False
2016-07-10,41,False
2016-07-17,39,False
2016-07-24,45,False
2016-07-31,41,False
2016-08-07,48,False
2016-08-14,53,False
2016-08-21,60,False
2016-08-28,78,False
2016-09-04,74,False
2016-09-11,78,False
2016-09-18,76,False
2016-09-25,75,False
2016-10-02,67,False
2016-10-09,77,False
2016-10-16,78,False
2016-10-23,92,False
2016-10-30,100,False
2016-11-06,72,False
2016-11-13,87,False
2016-11-20,51,False
2016-11-27,84,False
2016-12-04,88,False
2016-12-11,78,False
2016-12-18,48,False
2016-12-25,79,False
