date,dismal,isPartial
2012-01-01,57,False
2012-01-08,55,False
2012-01-15,73,False
2012-01-22,72,False
2012-01-29,71,False
2012-02-05,70,False
2012-02-12,55,False
2012-02-19,66,False
2012-02-26,69,False
2012-03-04,57,False
2012-03-11,51,False
2012-03-18,53,False
2012-03-25,67,False
2012-04-01,86,False
2012-04-08,73,False
2012-04-15,58,False
2012-04-22,71,False
2012-04-29,55,False
2012-05-06,76,False
2012-05-13,58,False
2012-05-20,77,False
2012-05-27,67,False
2012-06-03,68,False
2012-06-10,61,False
2012-06-17,49,False
2012-06-24,41,False
2012-07-01,70,False
2012-07-08,66,False
2012-07-15,42,False
2012-07-22,69,False
2012-07-29,54,False
2012-08-05,57,False
2012-08-12,57,False
2012-08-19,87,False
2012-08-26,73,False
2012-09-02,83,False
2012-09-09,89,False
2012-09-16,100,False
2012-09-23,78,False
2012-09-30,68,False
2012-10-07,74,False
2012-10-14,65,False
2012-10-21,74,False
2012-10-28,62,False
2012-11-04,75,False
2012-11-11,65,False
2012-11-18,50,False
2012-11-25,83,False
2012-12-02,78,False
2012-12-09,65,False
2012-12-16,40,False
2012-12-23,43,False
2012-12-30,50,False
