geoName,dismal
Alabama,67
Alaska,20
Arizona,19
Arkansas,25
California,20
Colorado,16
Connecticut,24
Delaware,11
District of Columbia,35
Florida,23
Georgia,23
Hawaii,14
Idaho,13
Illinois,22
Indiana,22
Iowa,22
Kansas,22
Kentucky,21
Louisiana,25
Maine,20
Maryland,26
Massachusetts,19
Michigan,22
Minnesota,22
Mississippi,58
Missouri,15
Montana,25
Nebraska,50
Nevada,13
New Hampshire,28
New Jersey,29
New Mexico,14
New York,17
North Carolina,39
North Dakota,4
Ohio,21
Oklahoma,16
Oregon,17
Pennsylvania,20
Rhode Island,35
South Carolina,31
South Dakota,15
Tennessee,28
Texas,18
Utah,17
Vermont,16
Virginia,100
Washington,20
West Virginia,23
Wisconsin,21
Wyoming,0
