geoName,dismal
Alabama,57
Alaska,16
Arizona,19
Arkansas,27
California,27
Colorado,32
Connecticut,23
Delaware,27
District of Columbia,42
Florida,30
Georgia,30
Hawaii,34
Idaho,25
Illinois,26
Indiana,36
Iowa,22
Kansas,32
Kentucky,27
Louisiana,20
Maine,42
Maryland,34
Massachusetts,30
Michigan,26
Minnesota,25
Mississippi,100
Missouri,20
Montana,32
Nebraska,76
Nevada,17
New Hampshire,38
New Jersey,32
New Mexico,30
New York,29
North Carolina,45
North Dakota,12
Ohio,22
Oklahoma,24
Oregon,22
Pennsylvania,28
Rhode Island,26
South Carolina,30
South Dakota,18
Tennessee,29
Texas,25
Utah,24
Vermont,35
Virginia,69
Washington,23
West Virginia,43
Wisconsin,25
Wyoming,0
