geoName,down
Alabama,90
Alaska,86
Arizona,84
Arkansas,91
California,81
Colorado,85
Connecticut,85
Delaware,88
District of Columbia,76
Florida,84
Georgia,82
Hawaii,92
Idaho,89
Illinois,82
Indiana,88
Iowa,83
Kansas,84
Kentucky,94
Louisiana,88
Maine,93
Maryland,87
Massachusetts,83
Michigan,85
Minnesota,82
Mississippi,92
Missouri,81
Montana,92
Nebraska,87
Nevada,83
New Hampshire,92
New Jersey,83
New Mexico,85
New York,82
North Carolina,89
North Dakota,87
Ohio,90
Oklahoma,87
Oregon,84
Pennsylvania,86
Rhode Island,95
South Carolina,90
South Dakota,86
Tennessee,89
Texas,82
Utah,88
Vermont,86
Virginia,92
Washington,81
West Virginia,100
Wisconsin,86
Wyoming,93
