date,down,isPartial
2011-01-02,64,False
2011-01-09,76,False
2011-01-16,65,False
2011-01-23,66,False
2011-01-30,66,False
2011-02-06,64,False
2011-02-13,64,False
2011-02-20,65,False
2011-02-27,67,False
2011-03-06,64,False
2011-03-13,65,False
2011-03-20,66,False
2011-03-27,66,False
2011-04-03,77,False
2011-04-10,69,False
2011-04-17,82,False
2011-04-24,100,False
2011-05-01,81,False
2011-05-08,74,False
2011-05-15,68,False
2011-05-22,64,False
2011-05-29,69,False
2011-06-05,63,False
2011-06-12,61,False
2011-06-19,64,False
2011-06-26,64,False
2011-07-03,63,False
2011-07-10,61,False
2011-07-17,62,False
2011-07-24,61,False
2011-07-31,64,False
2011-08-07,65,False
2011-08-14,58,False
2011-08-21,62,False
2011-08-28,61,False
2011-09-04,62,False
2011-09-11,60,False
2011-09-18,60,False
2011-09-25,60,False
2011-10-02,62,False
2011-10-09,62,False
2011-10-16,58,False
2011-10-23,58,False
2011-10-30,59,False
2011-11-06,60,False
2011-11-13,59,False
2011-11-20,57,False
2011-11-27,56,False
2011-12-04,60,False
2011-12-11,60,False
2011-12-18,55,False
2011-12-25,56,False
