geoName,down
Alabama,93
Alaska,85
Arizona,82
Arkansas,88
California,78
Colorado,84
Connecticut,80
Delaware,81
District of Columbia,81
Florida,78
Georgia,87
Hawaii,80
Idaho,82
Illinois,81
Indiana,88
Iowa,86
Kansas,83
Kentucky,92
Louisiana,89
Maine,89
Maryland,79
Massachusetts,82
Michigan,83
Minnesota,81
Mississippi,100
Missouri,85
Montana,87
Nebraska,83
Nevada,79
New Hampshire,84
New Jersey,79
New Mexico,81
New York,79
North Carolina,85
North Dakota,77
Ohio,88
Oklahoma,86
Oregon,80
Pennsylvania,83
Rhode Island,82
South Carolina,86
South Dakota,79
Tennessee,89
Texas,78
Utah,84
Vermont,92
Virginia,83
Washington,80
West Virginia,95
Wisconsin,83
Wyoming,89
