geoName,down
Alabama,96
Alaska,87
Arizona,83
Arkansas,96
California,86
Colorado,87
Connecticut,83
Delaware,89
District of Columbia,83
Florida,81
Georgia,89
Hawaii,84
Idaho,88
Illinois,84
Indiana,97
Iowa,85
Kansas,90
Kentucky,99
Louisiana,92
Maine,98
Maryland,87
Massachusetts,89
Michigan,91
Minnesota,86
Mississippi,100
Missouri,90
Montana,86
Nebraska,86
Nevada,90
New Hampshire,90
New Jersey,87
New Mexico,86
New York,81
North Carolina,91
North Dakota,86
Ohio,90
Oklahoma,91
Oregon,65
Pennsylvania,91
Rhode Island,87
South Carolina,92
South Dakota,85
Tennessee,91
Texas,87
Utah,92
Vermont,92
Virginia,89
Washington,86
West Virginia,99
Wisconsin,86
Wyoming,89
