date,down,isPartial
2015-01-04,92,False
2015-01-11,87,False
2015-01-18,87,False
2015-01-25,96,False
2015-02-01,90,False
2015-02-08,89,False
2015-02-15,90,False
2015-02-22,91,False
2015-03-01,86,False
2015-03-08,90,False
2015-03-15,88,False
2015-03-22,90,False
2015-03-29,86,False
2015-04-05,91,False
2015-04-12,91,False
2015-04-19,89,False
2015-04-26,90,False
2015-05-03,88,False
2015-05-10,91,False
2015-05-17,89,False
2015-05-24,91,False
2015-05-31,89,False
2015-06-07,87,False
2015-06-14,87,False
2015-06-21,91,False
2015-06-28,92,False
2015-07-05,94,False
2015-07-12,90,False
2015-07-19,92,False
2015-07-26,96,False
2015-08-02,90,False
2015-08-09,93,False
2015-08-16,96,False
2015-08-23,93,False
2015-08-30,91,False
2015-09-06,92,False
2015-09-13,93,False
2015-09-20,92,False
2015-09-27,100,False
2015-10-04,96,False
2015-10-11,94,False
2015-10-18,90,False
2015-10-25,89,False
2015-11-01,88,False
2015-11-08,92,False
2015-11-15,89,False
2015-11-22,99,False
2015-11-29,93,False
2015-12-06,95,False
2015-12-13,89,False
2015-12-20,90,False
2015-12-27,92,False
