geoName,down
Alabama,92
Alaska,94
Arizona,87
Arkansas,91
California,87
Colorado,91
Connecticut,88
Delaware,91
District of Columbia,80
Florida,85
Georgia,88
Hawaii,89
Idaho,90
Illinois,84
Indiana,100
Iowa,89
Kansas,89
Kentucky,95
Louisiana,93
Maine,95
Maryland,87
Massachusetts,88
Michigan,95
Minnesota,85
Mississippi,94
Missouri,93
Montana,85
Nebraska,90
Nevada,89
New Hampshire,92
New Jersey,91
New Mexico,88
New York,87
North Carolina,90
North Dakota,85
Ohio,91
Oklahoma,90
Oregon,92
Pennsylvania,95
Rhode Island,91
South Carolina,93
South Dakota,92
Tennessee,91
Texas,86
Utah,93
Vermont,94
Virginia,93
Washington,88
West Virginia,100
Wisconsin,89
Wyoming,84
