date,down,isPartial
2016-01-03,97,False
2016-01-10,92,False
2016-01-17,94,False
2016-01-24,91,False
2016-01-31,96,False
2016-02-07,95,False
2016-02-14,91,False
2016-02-21,95,False
2016-02-28,87,False
2016-03-06,89,False
2016-03-13,89,False
2016-03-20,92,False
2016-03-27,91,False
2016-04-03,93,False
2016-04-10,91,False
2016-04-17,90,False
2016-04-24,89,False
2016-05-01,87,False
2016-05-08,90,False
2016-05-15,90,False
2016-05-22,89,False
2016-05-29,94,False
2016-06-05,89,False
2016-06-12,89,False
2016-06-19,88,False
2016-06-26,89,False
2016-07-03,95,False
2016-07-10,93,False
2016-07-17,100,False
2016-07-24,92,False
2016-07-31,88,False
2016-08-07,87,False
2016-08-14,90,False
2016-08-21,93,False
2016-08-28,95,False
2016-09-04,92,False
2016-09-11,93,False
2016-09-18,89,False
2016-09-25,92,False
2016-10-02,90,False
2016-10-09,89,False
2016-10-16,100,False
2016-10-23,93,False
2016-10-30,93,False
2016-11-06,89,False
2016-11-13,91,False
2016-11-20,92,False
2016-11-27,92,False
2016-12-04,91,False
2016-12-11,95,False
2016-12-18,87,False
2016-12-25,87,False
