date,down,isPartial
2013-01-06,52,False
2013-01-13,54,False
2013-01-20,56,False
2013-01-27,53,False
2013-02-03,53,False
2013-02-10,53,False
2013-02-17,55,False
2013-02-24,54,False
2013-03-03,55,False
2013-03-10,54,False
2013-03-17,62,False
2013-03-24,57,False
2013-03-31,54,False
2013-04-07,57,False
2013-04-14,55,False
2013-04-21,55,False
2013-04-28,53,False
2013-05-05,53,False
2013-05-12,52,False
2013-05-19,52,False
2013-05-26,54,False
2013-06-02,55,False
2013-06-09,56,False
2013-06-16,58,False
2013-06-23,62,False
2013-06-30,60,False
2013-07-07,57,False
2013-07-14,57,False
2013-07-21,56,False
2013-07-28,54,False
2013-08-04,54,False
2013-08-11,57,False
2013-08-18,55,False
2013-08-25,53,False
2013-09-01,55,False
2013-09-08,55,False
2013-09-15,55,False
2013-09-22,59,False
2013-09-29,100,False
2013-10-06,74,False
2013-10-13,68,False
2013-10-20,59,False
2013-10-27,58,False
2013-11-03,60,False
2013-11-10,63,False
2013-11-17,62,False
2013-11-24,58,False
2013-12-01,57,False
2013-12-08,58,False
2013-12-15,57,False
2013-12-22,58,False
2013-12-29,61,False
