geoName,down
Alabama,89
Alaska,87
Arizona,80
Arkansas,92
California,78
Colorado,80
Connecticut,76
Delaware,83
District of Columbia,78
Florida,79
Georgia,85
Hawaii,80
Idaho,84
Illinois,79
Indiana,85
Iowa,83
Kansas,77
Kentucky,90
Louisiana,89
Maine,91
Maryland,79
Massachusetts,80
Michigan,85
Minnesota,80
Mississippi,100
Missouri,87
Montana,89
Nebraska,81
Nevada,82
New Hampshire,82
New Jersey,77
New Mexico,80
New York,75
North Carolina,87
North Dakota,82
Ohio,87
Oklahoma,87
Oregon,57
Pennsylvania,82
Rhode Island,85
South Carolina,86
South Dakota,80
Tennessee,90
Texas,79
Utah,84
Vermont,84
Virginia,72
Washington,81
West Virginia,95
Wisconsin,78
Wyoming,84
