date,desperate,isPartial
2015-01-04,100,False
2015-01-11,67,False
2015-01-18,71,False
2015-01-25,65,False
2015-02-01,56,False
2015-02-08,55,False
2015-02-15,60,False
2015-02-22,68,False
2015-03-01,57,False
2015-03-08,57,False
2015-03-15,59,False
2015-03-22,69,False
2015-03-29,63,False
2015-04-05,62,False
2015-04-12,63,False
2015-04-19,62,False
2015-04-26,67,False
2015-05-03,60,False
2015-05-10,63,False
2015-05-17,60,False
2015-05-24,71,False
2015-05-31,67,False
2015-06-07,65,False
2015-06-14,66,False
2015-06-21,57,False
2015-06-28,53,False
2015-07-05,68,False
2015-07-12,67,False
2015-07-19,68,False
2015-07-26,63,False
2015-08-02,61,False
2015-08-09,68,False
2015-08-16,60,False
2015-08-23,60,False
2015-08-30,63,False
2015-09-06,62,False
2015-09-13,57,False
2015-09-20,53,False
2015-09-27,61,False
2015-10-04,64,False
2015-10-11,55,False
2015-10-18,58,False
2015-10-25,51,False
2015-11-01,66,False
2015-11-08,59,False
2015-11-15,56,False
2015-11-22,57,False
2015-11-29,59,False
2015-12-06,65,False
2015-12-13,49,False
2015-12-20,58,False
2015-12-27,79,False
