geoName,desperate
Alabama,76
Alaska,57
Arizona,81
Arkansas,74
California,76
Colorado,59
Connecticut,70
Delaware,78
District of Columbia,61
Florida,68
Georgia,70
Hawaii,73
Idaho,65
Illinois,71
Indiana,67
Iowa,73
Kansas,63
Kentucky,81
Louisiana,77
Maine,83
Maryland,73
Massachusetts,73
Michigan,75
Minnesota,76
Mississippi,68
Missouri,74
Montana,45
Nebraska,71
Nevada,59
New Hampshire,74
New Jersey,74
New Mexico,65
New York,74
North Carolina,69
North Dakota,67
Ohio,74
Oklahoma,69
Oregon,81
Pennsylvania,76
Rhode Island,100
South Carolina,67
South Dakota,49
Tennessee,70
Texas,67
Utah,69
Vermont,36
Virginia,76
Washington,71
West Virginia,74
Wisconsin,69
Wyoming,63
