date,desperate,isPartial
2013-01-06,91,False
2013-01-13,93,False
2013-01-20,88,False
2013-01-27,82,False
2013-02-03,70,False
2013-02-10,74,False
2013-02-17,78,False
2013-02-24,83,False
2013-03-03,82,False
2013-03-10,76,False
2013-03-17,74,False
2013-03-24,89,False
2013-03-31,83,False
2013-04-07,83,False
2013-04-14,79,False
2013-04-21,84,False
2013-04-28,90,False
2013-05-05,82,False
2013-05-12,81,False
2013-05-19,85,False
2013-05-26,88,False
2013-06-02,100,False
2013-06-09,85,False
2013-06-16,87,False
2013-06-23,98,False
2013-06-30,92,False
2013-07-07,99,False
2013-07-14,87,False
2013-07-21,91,False
2013-07-28,96,False
2013-08-04,95,False
2013-08-11,98,False
2013-08-18,88,False
2013-08-25,81,False
2013-09-01,87,False
2013-09-08,76,False
2013-09-15,77,False
2013-09-22,77,False
2013-09-29,86,False
2013-10-06,71,False
2013-10-13,71,False
2013-10-20,78,False
2013-10-27,72,False
2013-11-03,64,False
2013-11-10,80,False
2013-11-17,68,False
2013-11-24,69,False
2013-12-01,69,False
2013-12-08,65,False
2013-12-15,76,False
2013-12-22,74,False
2013-12-29,81,False
