date,desperate,isPartial
2016-01-03,100,False
2016-01-10,93,False
2016-01-17,100,False
2016-01-24,88,False
2016-01-31,90,False
2016-02-07,93,False
2016-02-14,83,False
2016-02-21,86,False
2016-02-28,91,False
2016-03-06,91,False
2016-03-13,92,False
2016-03-20,88,False
2016-03-27,85,False
2016-04-03,95,False
2016-04-10,86,False
2016-04-17,90,False
2016-04-24,93,False
2016-05-01,97,False
2016-05-08,96,False
2016-05-15,89,False
2016-05-22,96,False
2016-05-29,95,False
2016-06-05,94,False
2016-06-12,83,False
2016-06-19,87,False
2016-06-26,82,False
2016-07-03,80,False
2016-07-10,92,False
2016-07-17,89,False
2016-07-24,93,False
2016-07-31,85,False
2016-08-07,79,False
2016-08-14,80,False
2016-08-21,79,False
2016-08-28,82,False
2016-09-04,89,False
2016-09-11,85,False
2016-09-18,78,False
2016-09-25,99,False
2016-10-02,79,False
2016-10-09,88,False
2016-10-16,81,False
2016-10-23,80,False
2016-10-30,81,False
2016-11-06,94,False
2016-11-13,84,False
2016-11-20,75,False
2016-11-27,76,False
2016-12-04,76,False
2016-12-11,84,False
2016-12-18,75,False
2016-12-25,78,False
