date,desperate,isPartial
2011-01-02,85,False
2011-01-09,81,False
2011-01-16,81,False
2011-01-23,73,False
2011-01-30,74,False
2011-02-06,60,False
2011-02-13,65,False
2011-02-20,73,False
2011-02-27,59,False
2011-03-06,69,False
2011-03-13,55,False
2011-03-20,61,False
2011-03-27,54,False
2011-04-03,63,False
2011-04-10,54,False
2011-04-17,64,False
2011-04-24,62,False
2011-05-01,79,False
2011-05-08,76,False
2011-05-15,100,False
2011-05-22,46,False
2011-05-29,43,False
2011-06-05,37,False
2011-06-12,41,False
2011-06-19,33,False
2011-06-26,30,False
2011-07-03,32,False
2011-07-10,31,False
2011-07-17,28,False
2011-07-24,31,False
2011-07-31,33,False
2011-08-07,46,False
2011-08-14,43,False
2011-08-21,34,False
2011-08-28,41,False
2011-09-04,49,False
2011-09-11,49,False
2011-09-18,59,False
2011-09-25,89,False
2011-10-02,67,False
2011-10-09,61,False
2011-10-16,59,False
2011-10-23,58,False
2011-10-30,67,False
2011-11-06,62,False
2011-11-13,63,False
2011-11-20,59,False
2011-11-27,61,False
2011-12-04,74,False
2011-12-11,58,False
2011-12-18,50,False
2011-12-25,40,False
