date,desperate,isPartial
2012-01-01,28,False
2012-01-08,41,False
2012-01-15,39,False
2012-01-22,32,False
2012-01-29,32,False
2012-02-05,27,False
2012-02-12,33,False
2012-02-19,36,False
2012-02-26,29,False
2012-03-04,39,False
2012-03-11,55,False
2012-03-18,42,False
2012-03-25,37,False
2012-04-01,38,False
2012-04-08,34,False
2012-04-15,33,False
2012-04-22,35,False
2012-04-29,37,False
2012-05-06,44,False
2012-05-13,100,False
2012-05-20,23,False
2012-05-27,20,False
2012-06-03,27,False
2012-06-10,17,False
2012-06-17,15,False
2012-06-24,15,False
2012-07-01,16,False
2012-07-08,15,False
2012-07-15,14,False
2012-07-22,14,False
2012-07-29,15,False
2012-08-05,13,False
2012-08-12,13,False
2012-08-19,13,False
2012-08-26,12,False
2012-09-02,14,False
2012-09-09,13,False
2012-09-16,12,False
2012-09-23,12,False
2012-09-30,13,False
2012-10-07,12,False
2012-10-14,12,False
2012-10-21,11,False
2012-10-28,11,False
2012-11-04,11,False
2012-11-11,11,False
2012-11-18,11,False
2012-11-25,11,False
2012-12-02,10,False
2012-12-09,11,False
2012-12-16,10,False
2012-12-23,12,False
2012-12-30,12,False
