geoName,desperate
Alabama,79
Alaska,88
Arizona,77
Arkansas,72
California,81
Colorado,56
Connecticut,80
Delaware,86
District of Columbia,54
Florida,67
Georgia,64
Hawaii,68
Idaho,65
Illinois,73
Indiana,68
Iowa,74
Kansas,64
Kentucky,82
Louisiana,60
Maine,71
Maryland,74
Massachusetts,75
Michigan,72
Minnesota,66
Mississippi,81
Missouri,65
Montana,80
Nebraska,69
Nevada,71
New Hampshire,69
New Jersey,75
New Mexico,73
New York,74
North Carolina,65
North Dakota,72
Ohio,79
Oklahoma,77
Oregon,46
Pennsylvania,78
Rhode Island,91
South Carolina,69
South Dakota,62
Tennessee,69
Texas,71
Utah,70
Vermont,100
Virginia,60
Washington,66
West Virginia,96
Wisconsin,66
Wyoming,65
