date,desperate,isPartial
2014-01-05,76,False
2014-01-12,84,False
2014-01-19,81,False
2014-01-26,82,False
2014-02-02,83,False
2014-02-09,72,False
2014-02-16,77,False
2014-02-23,89,False
2014-03-02,83,False
2014-03-09,82,False
2014-03-16,81,False
2014-03-23,78,False
2014-03-30,90,False
2014-04-06,82,False
2014-04-13,90,False
2014-04-20,93,False
2014-04-27,86,False
2014-05-04,89,False
2014-05-11,86,False
2014-05-18,87,False
2014-05-25,84,False
2014-06-01,86,False
2014-06-08,80,False
2014-06-15,88,False
2014-06-22,90,False
2014-06-29,96,False
2014-07-06,100,False
2014-07-13,94,False
2014-07-20,89,False
2014-07-27,89,False
2014-08-03,97,False
2014-08-10,90,False
2014-08-17,91,False
2014-08-24,93,False
2014-08-31,83,False
2014-09-07,75,False
2014-09-14,78,False
2014-09-21,83,False
2014-09-28,80,False
2014-10-05,80,False
2014-10-12,75,False
2014-10-19,78,False
2014-10-26,84,False
2014-11-02,77,False
2014-11-09,83,False
2014-11-16,77,False
2014-11-23,77,False
2014-11-30,83,False
2014-12-07,79,False
2014-12-14,79,False
2014-12-21,94,False
2014-12-28,96,False
