geoName,desperate
Alabama,69
Alaska,63
Arizona,63
Arkansas,63
California,65
Colorado,51
Connecticut,65
Delaware,100
District of Columbia,53
Florida,59
Georgia,61
Hawaii,55
Idaho,55
Illinois,59
Indiana,57
Iowa,60
Kansas,62
Kentucky,60
Louisiana,65
Maine,46
Maryland,62
Massachusetts,70
Michigan,64
Minnesota,72
Mississippi,57
Missouri,63
Montana,54
Nebraska,63
Nevada,63
New Hampshire,67
New Jersey,64
New Mexico,57
New York,66
North Carolina,62
North Dakota,72
Ohio,67
Oklahoma,65
Oregon,44
Pennsylvania,67
Rhode Island,79
South Carolina,60
South Dakota,52
Tennessee,62
Texas,55
Utah,60
Vermont,77
Virginia,50
Washington,56
West Virginia,67
Wisconsin,72
Wyoming,49
