geoName,desperate
Alabama,66
Alaska,49
Arizona,74
Arkansas,75
California,81
Colorado,67
Connecticut,73
Delaware,83
District of Columbia,62
Florida,70
Georgia,62
Hawaii,83
Idaho,78
Illinois,67
Indiana,78
Iowa,84
Kansas,75
Kentucky,85
Louisiana,65
Maine,79
Maryland,73
Massachusetts,72
Michigan,74
Minnesota,76
Mississippi,69
Missouri,61
Montana,70
Nebraska,86
Nevada,78
New Hampshire,79
New Jersey,78
New Mexico,60
New York,74
North Carolina,72
North Dakota,87
Ohio,81
Oklahoma,68
Oregon,77
Pennsylvania,74
Rhode Island,84
South Carolina,71
South Dakota,75
Tennessee,68
Texas,67
Utah,71
Vermont,100
Virginia,75
Washington,74
West Virginia,68
Wisconsin,77
Wyoming,55
