geoName,desperate
Alabama,76
Alaska,66
Arizona,80
Arkansas,78
California,84
Colorado,81
Connecticut,93
Delaware,79
District of Columbia,63
Florida,77
Georgia,72
Hawaii,92
Idaho,82
Illinois,77
Indiana,85
Iowa,75
Kansas,82
Kentucky,77
Louisiana,82
Maine,86
Maryland,87
Massachusetts,85
Michigan,87
Minnesota,77
Mississippi,64
Missouri,68
Montana,89
Nebraska,74
Nevada,77
New Hampshire,87
New Jersey,81
New Mexico,71
New York,80
North Carolina,80
North Dakota,89
Ohio,80
Oklahoma,68
Oregon,87
Pennsylvania,82
Rhode Island,100
South Carolina,78
South Dakota,90
Tennessee,78
Texas,70
Utah,89
Vermont,94
Virginia,79
Washington,84
West Virginia,91
Wisconsin,84
Wyoming,84
