geoName,inadequate
Alabama,80
Alaska,55
Arizona,59
Arkansas,100
California,51
Colorado,51
Connecticut,60
Delaware,69
District of Columbia,61
Florida,56
Georgia,56
Hawaii,54
Idaho,53
Illinois,41
Indiana,60
Iowa,70
Kansas,55
Kentucky,50
Louisiana,76
Maine,64
Maryland,58
Massachusetts,58
Michigan,55
Minnesota,46
Mississippi,80
Missouri,64
Montana,40
Nebraska,51
Nevada,77
New Hampshire,48
New Jersey,46
New Mexico,35
New York,49
North Carolina,64
North Dakota,89
Ohio,61
Oklahoma,34
Oregon,33
Pennsylvania,52
Rhode Island,37
South Carolina,47
South Dakota,82
Tennessee,40
Texas,50
Utah,70
Vermont,51
Virginia,35
Washington,44
West Virginia,50
Wisconsin,47
Wyoming,54
