date,inadequate,isPartial
2013-01-06,58,False
2013-01-13,72,False
2013-01-20,72,False
2013-01-27,64,False
2013-02-03,67,False
2013-02-10,77,False
2013-02-17,60,False
2013-02-24,79,False
2013-03-03,78,False
2013-03-10,77,False
2013-03-17,56,False
2013-03-24,62,False
2013-03-31,66,False
2013-04-07,71,False
2013-04-14,67,False
2013-04-21,64,False
2013-04-28,70,False
2013-05-05,64,False
2013-05-12,69,False
2013-05-19,51,False
2013-05-26,40,False
2013-06-02,62,False
2013-06-09,52,False
2013-06-16,54,False
2013-06-23,66,False
2013-06-30,51,False
2013-07-07,53,False
2013-07-14,54,False
2013-07-21,47,False
2013-07-28,53,False
2013-08-04,49,False
2013-08-11,53,False
2013-08-18,52,False
2013-08-25,72,False
2013-09-01,58,False
2013-09-08,66,False
2013-09-15,65,False
2013-09-22,69,False
2013-09-29,83,False
2013-10-06,80,False
2013-10-13,72,False
2013-10-20,82,False
2013-10-27,71,False
2013-11-03,91,False
2013-11-10,88,False
2013-11-17,64,False
2013-11-24,52,False
2013-12-01,100,False
2013-12-08,75,False
2013-12-15,62,False
2013-12-22,43,False
2013-12-29,51,False
