date,inadequate,isPartial
2015-01-04,73,False
2015-01-11,53,False
2015-01-18,72,False
2015-01-25,78,False
2015-02-01,76,False
2015-02-08,81,False
2015-02-15,82,False
2015-02-22,77,False
2015-03-01,92,False
2015-03-08,79,False
2015-03-15,82,False
2015-03-22,94,False
2015-03-29,84,False
2015-04-05,85,False
2015-04-12,89,False
2015-04-19,87,False
2015-04-26,92,False
2015-05-03,100,False
2015-05-10,80,False
2015-05-17,66,False
2015-05-24,70,False
2015-05-31,63,False
2015-06-07,54,False
2015-06-14,58,False
2015-06-21,50,False
2015-06-28,52,False
2015-07-05,52,False
2015-07-12,55,False
2015-07-19,61,False
2015-07-26,53,False
2015-08-02,64,False
2015-08-09,55,False
2015-08-16,47,False
2015-08-23,63,False
2015-08-30,72,False
2015-09-06,76,False
2015-09-13,75,False
2015-09-20,92,False
2015-09-27,99,False
2015-10-04,95,False
2015-10-11,80,False
2015-10-18,70,False
2015-10-25,83,False
2015-11-01,97,False
2015-11-08,81,False
2015-11-15,98,False
2015-11-22,53,False
2015-11-29,58,False
2015-12-06,72,False
2015-12-13,65,False
2015-12-20,40,False
2015-12-27,45,False
