geoName,counsel
Alabama,17
Alaska,18
Arizona,18
Arkansas,20
California,27
Colorado,22
Connecticut,28
Delaware,31
District of Columbia,100
Florida,22
Georgia,19
Hawaii,33
Idaho,19
Illinois,27
Indiana,18
Iowa,16
Kansas,17
Kentucky,13
Louisiana,22
Maine,16
Maryland,59
Massachusetts,30
Michigan,21
Minnesota,23
Mississippi,13
Missouri,26
Montana,16
Nebraska,19
Nevada,20
New Hampshire,13
New Jersey,29
New Mexico,17
New York,41
North Carolina,18
North Dakota,18
Ohio,21
Oklahoma,14
Oregon,20
Pennsylvania,27
Rhode Island,24
South Carolina,19
South Dakota,12
Tennessee,21
Texas,19
Utah,23
Vermont,22
Virginia,34
Washington,19
West Virginia,17
Wisconsin,22
Wyoming,11
