geoName,counsel
Alabama,19
Alaska,16
Arizona,17
Arkansas,23
California,27
Colorado,22
Connecticut,29
Delaware,30
District of Columbia,100
Florida,23
Georgia,21
Hawaii,20
Idaho,17
Illinois,30
Indiana,22
Iowa,13
Kansas,15
Kentucky,19
Louisiana,19
Maine,13
Maryland,60
Massachusetts,31
Michigan,21
Minnesota,22
Mississippi,18
Missouri,26
Montana,24
Nebraska,18
Nevada,19
New Hampshire,20
New Jersey,32
New Mexico,17
New York,33
North Carolina,20
North Dakota,15
Ohio,21
Oklahoma,20
Oregon,20
Pennsylvania,30
Rhode Island,20
South Carolina,19
South Dakota,22
Tennessee,22
Texas,18
Utah,22
Vermont,20
Virginia,40
Washington,17
West Virginia,16
Wisconsin,25
Wyoming,9
