date,counsel,isPartial
2011-01-02,92,False
2011-01-09,81,False
2011-01-16,84,False
2011-01-23,90,False
2011-01-30,91,False
2011-02-06,97,False
2011-02-13,99,False
2011-02-20,85,False
2011-02-27,100,False
2011-03-06,89,False
2011-03-13,81,False
2011-03-20,94,False
2011-03-27,92,False
2011-04-03,86,False
2011-04-10,76,False
2011-04-17,95,False
2011-04-24,80,False
2011-05-01,87,False
2011-05-08,83,False
2011-05-15,79,False
2011-05-22,77,False
2011-05-29,82,False
2011-06-05,84,False
2011-06-12,90,False
2011-06-19,75,False
2011-06-26,77,False
2011-07-03,70,False
2011-07-10,85,False
2011-07-17,88,False
2011-07-24,73,False
2011-07-31,88,False
2011-08-07,73,False
2011-08-14,77,False
2011-08-21,80,False
2011-08-28,82,False
2011-09-04,78,False
2011-09-11,85,False
2011-09-18,91,False
2011-09-25,88,False
2011-10-02,82,False
2011-10-09,82,False
2011-10-16,87,False
2011-10-23,81,False
2011-10-30,85,False
2011-11-06,85,False
2011-11-13,74,False
2011-11-20,54,False
2011-11-27,77,False
2011-12-04,81,False
2011-12-11,67,False
2011-12-18,63,False
2011-12-25,46,False
