geoName,counsel
Alabama,17
Alaska,16
Arizona,15
Arkansas,14
California,24
Colorado,20
Connecticut,25
Delaware,25
District of Columbia,100
Florida,19
Georgia,17
Hawaii,21
Idaho,19
Illinois,23
Indiana,17
Iowa,13
Kansas,14
Kentucky,16
Louisiana,18
Maine,16
Maryland,49
Massachusetts,29
Michigan,19
Minnesota,22
Mississippi,13
Missouri,21
Montana,14
Nebraska,18
Nevada,15
New Hampshire,17
New Jersey,28
New Mexico,13
New York,34
North Carolina,16
North Dakota,14
Ohio,21
Oklahoma,14
Oregon,11
Pennsylvania,25
Rhode Island,22
South Carolina,17
South Dakota,13
Tennessee,19
Texas,17
Utah,18
Vermont,12
Virginia,23
Washington,16
West Virginia,19
Wisconsin,19
Wyoming,16
