date,counsel,isPartial
2014-01-05,86,False
2014-01-12,85,False
2014-01-19,82,False
2014-01-26,86,False
2014-02-02,86,False
2014-02-09,87,False
2014-02-16,75,False
2014-02-23,99,False
2014-03-02,90,False
2014-03-09,87,False
2014-03-16,85,False
2014-03-23,89,False
2014-03-30,85,False
2014-04-06,90,False
2014-04-13,84,False
2014-04-20,83,False
2014-04-27,91,False
2014-05-04,93,False
2014-05-11,89,False
2014-05-18,88,False
2014-05-25,72,False
2014-06-01,84,False
2014-06-08,94,False
2014-06-15,85,False
2014-06-22,82,False
2014-06-29,71,False
2014-07-06,91,False
2014-07-13,90,False
2014-07-20,82,False
2014-07-27,86,False
2014-08-03,78,False
2014-08-10,84,False
2014-08-17,82,False
2014-08-24,84,False
2014-08-31,79,False
2014-09-07,91,False
2014-09-14,87,False
2014-09-21,87,False
2014-09-28,100,False
2014-10-05,89,False
2014-10-12,83,False
2014-10-19,94,False
2014-10-26,89,False
2014-11-02,88,False
2014-11-09,87,False
2014-11-16,86,False
2014-11-23,53,False
2014-11-30,81,False
2014-12-07,89,False
2014-12-14,79,False
2014-12-21,48,False
2014-12-28,46,False
