geoName,counsel
Alabama,16
Alaska,16
Arizona,13
Arkansas,17
California,21
Colorado,16
Connecticut,20
Delaware,22
District of Columbia,100
Florida,15
Georgia,14
Hawaii,23
Idaho,13
Illinois,20
Indiana,13
Iowa,11
Kansas,12
Kentucky,12
Louisiana,13
Maine,14
Maryland,44
Massachusetts,23
Michigan,16
Minnesota,17
Mississippi,10
Missouri,16
Montana,14
Nebraska,14
Nevada,14
New Hampshire,13
New Jersey,22
New Mexico,13
New York,29
North Carolina,14
North Dakota,13
Ohio,18
Oklahoma,12
Oregon,11
Pennsylvania,22
Rhode Island,12
South Carolina,16
South Dakota,12
Tennessee,14
Texas,13
Utah,17
Vermont,13
Virginia,26
Washington,13
West Virginia,14
Wisconsin,16
Wyoming,16
