date,counsel,isPartial
2012-01-01,78,False
2012-01-08,92,False
2012-01-15,91,False
2012-01-22,86,False
2012-01-29,93,False
2012-02-05,99,False
2012-02-12,85,False
2012-02-19,91,False
2012-02-26,91,False
2012-03-04,100,False
2012-03-11,83,False
2012-03-18,91,False
2012-03-25,79,False
2012-04-01,89,False
2012-04-08,95,False
2012-04-15,97,False
2012-04-22,95,False
2012-04-29,83,False
2012-05-06,93,False
2012-05-13,90,False
2012-05-20,83,False
2012-05-27,80,False
2012-06-03,89,False
2012-06-10,88,False
2012-06-17,77,False
2012-06-24,79,False
2012-07-01,65,False
2012-07-08,83,False
2012-07-15,81,False
2012-07-22,83,False
2012-07-29,81,False
2012-08-05,82,False
2012-08-12,81,False
2012-08-19,84,False
2012-08-26,85,False
2012-09-02,81,False
2012-09-09,87,False
2012-09-16,89,False
2012-09-23,93,False
2012-09-30,92,False
2012-10-07,86,False
2012-10-14,83,False
2012-10-21,81,False
2012-10-28,78,False
2012-11-04,84,False
2012-11-11,82,False
2012-11-18,59,False
2012-11-25,83,False
2012-12-02,82,False
2012-12-09,80,False
2012-12-16,73,False
2012-12-23,43,False
2012-12-30,63,False
