date,counsel,isPartial
2016-01-03,88,False
2016-01-10,89,False
2016-01-17,93,False
2016-01-24,91,False
2016-01-31,97,False
2016-02-07,100,False
2016-02-14,88,False
2016-02-21,91,False
2016-02-28,97,False
2016-03-06,85,False
2016-03-13,90,False
2016-03-20,95,False
2016-03-27,93,False
2016-04-03,94,False
2016-04-10,100,False
2016-04-17,87,False
2016-04-24,92,False
2016-05-01,90,False
2016-05-08,87,False
2016-05-15,90,False
2016-05-22,85,False
2016-05-29,76,False
2016-06-05,93,False
2016-06-12,87,False
2016-06-19,78,False
2016-06-26,80,False
2016-07-03,76,False
2016-07-10,89,False
2016-07-17,74,False
2016-07-24,87,False
2016-07-31,79,False
2016-08-07,79,False
2016-08-14,78,False
2016-08-21,91,False
2016-08-28,83,False
2016-09-04,77,False
2016-09-11,87,False
2016-09-18,85,False
2016-09-25,91,False
2016-10-02,89,False
2016-10-09,81,False
2016-10-16,92,False
2016-10-23,87,False
2016-10-30,97,False
2016-11-06,83,False
2016-11-13,92,False
2016-11-20,60,False
2016-11-27,83,False
2016-12-04,89,False
2016-12-11,80,False
2016-12-18,73,False
2016-12-25,49,False
