date,reckless,isPartial
2012-01-01,65,False
2012-01-08,65,False
2012-01-15,67,False
2012-01-22,71,False
2012-01-29,66,False
2012-02-05,70,False
2012-02-12,73,False
2012-02-19,82,False
2012-02-26,71,False
2012-03-04,73,False
2012-03-11,73,False
2012-03-18,79,False
2012-03-25,85,False
2012-04-01,99,False
2012-04-08,77,False
2012-04-15,85,False
2012-04-22,100,False
2012-04-29,81,False
2012-05-06,80,False
2012-05-13,74,False
2012-05-20,69,False
2012-05-27,87,False
2012-06-03,78,False
2012-06-10,75,False
2012-06-17,81,False
2012-06-24,79,False
2012-07-01,72,False
2012-07-08,77,False
2012-07-15,94,False
2012-07-22,85,False
2012-07-29,82,False
2012-08-05,73,False
2012-08-12,77,False
2012-08-19,81,False
2012-08-26,79,False
2012-09-02,71,False
2012-09-09,66,False
2012-09-16,69,False
2012-09-23,67,False
2012-09-30,64,False
2012-10-07,67,False
2012-10-14,61,False
2012-10-21,71,False
2012-10-28,59,False
2012-11-04,61,False
2012-11-11,67,False
2012-11-18,71,False
2012-11-25,77,False
2012-12-02,68,False
2012-12-09,71,False
2012-12-16,72,False
2012-12-23,69,False
2012-12-30,68,False
