date,reckless,isPartial
2016-01-03,69,False
2016-01-10,67,False
2016-01-17,71,False
2016-01-24,71,False
2016-01-31,77,False
2016-02-07,75,False
2016-02-14,79,False
2016-02-21,79,False
2016-02-28,77,False
2016-03-06,74,False
2016-03-13,90,False
2016-03-20,77,False
2016-03-27,86,False
2016-04-03,85,False
2016-04-10,86,False
2016-04-17,82,False
2016-04-24,90,False
2016-05-01,78,False
2016-05-08,82,False
2016-05-15,81,False
2016-05-22,74,False
2016-05-29,72,False
2016-06-05,73,False
2016-06-12,70,False
2016-06-19,81,False
2016-06-26,79,False
2016-07-03,77,False
2016-07-10,78,False
2016-07-17,77,False
2016-07-24,81,False
2016-07-31,73,False
2016-08-07,90,False
2016-08-14,77,False
2016-08-21,81,False
2016-08-28,83,False
2016-09-04,77,False
2016-09-11,88,False
2016-09-18,82,False
2016-09-25,88,False
2016-10-02,72,False
2016-10-09,76,False
2016-10-16,88,False
2016-10-23,99,False
2016-10-30,87,False
2016-11-06,81,False
2016-11-13,87,False
2016-11-20,89,False
2016-11-27,100,False
2016-12-04,84,False
2016-12-11,83,False
2016-12-18,79,False
2016-12-25,87,False
