date,reckless,isPartial
2015-01-04,94,False
2015-01-11,100,False
2015-01-18,100,False
2015-01-25,91,False
2015-02-01,87,False
2015-02-08,84,False
2015-02-15,87,False
2015-02-22,85,False
2015-03-01,86,False
2015-03-08,83,False
2015-03-15,78,False
2015-03-22,79,False
2015-03-29,86,False
2015-04-05,87,False
2015-04-12,92,False
2015-04-19,86,False
2015-04-26,81,False
2015-05-03,80,False
2015-05-10,82,False
2015-05-17,76,False
2015-05-24,84,False
2015-05-31,80,False
2015-06-07,74,False
2015-06-14,65,False
2015-06-21,67,False
2015-06-28,65,False
2015-07-05,67,False
2015-07-12,64,False
2015-07-19,63,False
2015-07-26,69,False
2015-08-02,70,False
2015-08-09,67,False
2015-08-16,75,False
2015-08-23,63,False
2015-08-30,68,False
2015-09-06,66,False
2015-09-13,65,False
2015-09-20,67,False
2015-09-27,61,False
2015-10-04,63,False
2015-10-11,62,False
2015-10-18,62,False
2015-10-25,59,False
2015-11-01,62,False
2015-11-08,60,False
2015-11-15,63,False
2015-11-22,58,False
2015-11-29,75,False
2015-12-06,69,False
2015-12-13,76,False
2015-12-20,70,False
2015-12-27,66,False
