geoName,reckless
Alabama,74
Alaska,50
Arizona,67
Arkansas,75
California,56
Colorado,64
Connecticut,51
Delaware,72
District of Columbia,57
Florida,56
Georgia,63
Hawaii,44
Idaho,82
Illinois,84
Indiana,68
Iowa,72
Kansas,72
Kentucky,78
Louisiana,63
Maine,78
Maryland,55
Massachusetts,51
Michigan,65
Minnesota,72
Mississippi,59
Missouri,70
Montana,72
Nebraska,70
Nevada,69
New Hampshire,77
New Jersey,57
New Mexico,60
New York,49
North Carolina,66
North Dakota,98
Ohio,69
Oklahoma,68
Oregon,35
Pennsylvania,61
Rhode Island,55
South Carolina,100
South Dakota,100
Tennessee,66
Texas,64
Utah,58
Vermont,56
Virginia,61
Washington,61
West Virginia,72
Wisconsin,69
Wyoming,59
