geoName,reckless
Alabama,64
Alaska,76
Arizona,68
Arkansas,69
California,72
Colorado,65
Connecticut,65
Delaware,73
District of Columbia,75
Florida,61
Georgia,66
Hawaii,49
Idaho,82
Illinois,92
Indiana,74
Iowa,74
Kansas,73
Kentucky,76
Louisiana,63
Maine,53
Maryland,79
Massachusetts,52
Michigan,67
Minnesota,61
Mississippi,60
Missouri,59
Montana,64
Nebraska,71
Nevada,64
New Hampshire,87
New Jersey,73
New Mexico,74
New York,57
North Carolina,65
North Dakota,67
Ohio,72
Oklahoma,83
Oregon,56
Pennsylvania,69
Rhode Island,69
South Carolina,58
South Dakota,99
Tennessee,63
Texas,71
Utah,52
Vermont,35
Virginia,100
Washington,69
West Virginia,88
Wisconsin,65
Wyoming,51
