date,reckless,isPartial
2011-01-02,62,False
2011-01-09,61,False
2011-01-16,56,False
2011-01-23,50,False
2011-01-30,55,False
2011-02-06,72,False
2011-02-13,58,False
2011-02-20,58,False
2011-02-27,68,False
2011-03-06,67,False
2011-03-13,63,False
2011-03-20,71,False
2011-03-27,81,False
2011-04-03,100,False
2011-04-10,87,False
2011-04-17,70,False
2011-04-24,71,False
2011-05-01,69,False
2011-05-08,59,False
2011-05-15,64,False
2011-05-22,66,False
2011-05-29,70,False
2011-06-05,76,False
2011-06-12,70,False
2011-06-19,63,False
2011-06-26,61,False
2011-07-03,75,False
2011-07-10,64,False
2011-07-17,67,False
2011-07-24,64,False
2011-07-31,61,False
2011-08-07,61,False
2011-08-14,67,False
2011-08-21,63,False
2011-08-28,65,False
2011-09-04,60,False
2011-09-11,56,False
2011-09-18,63,False
2011-09-25,63,False
2011-10-02,60,False
2011-10-09,67,False
2011-10-16,70,False
2011-10-23,64,False
2011-10-30,64,False
2011-11-06,63,False
2011-11-13,66,False
2011-11-20,58,False
2011-11-27,76,False
2011-12-04,65,False
2011-12-11,70,False
2011-12-18,66,False
2011-12-25,65,False
