geoName,reckless
Alabama,68
Alaska,46
Arizona,53
Arkansas,61
California,61
Colorado,60
Connecticut,53
Delaware,64
District of Columbia,77
Florida,50
Georgia,61
Hawaii,55
Idaho,76
Illinois,84
Indiana,63
Iowa,70
Kansas,59
Kentucky,66
Louisiana,55
Maine,64
Maryland,62
Massachusetts,43
Michigan,63
Minnesota,59
Mississippi,60
Missouri,54
Montana,54
Nebraska,75
Nevada,66
New Hampshire,71
New Jersey,55
New Mexico,54
New York,52
North Carolina,61
North Dakota,83
Ohio,66
Oklahoma,62
Oregon,52
Pennsylvania,57
Rhode Island,55
South Carolina,60
South Dakota,87
Tennessee,75
Texas,60
Utah,69
Vermont,54
Virginia,100
Washington,68
West Virginia,70
Wisconsin,74
Wyoming,97
