geoName,reckless
Alabama,55
Alaska,41
Arizona,56
Arkansas,60
California,66
Colorado,62
Connecticut,60
Delaware,87
District of Columbia,69
Florida,55
Georgia,60
Hawaii,55
Idaho,62
Illinois,100
Indiana,72
Iowa,72
Kansas,71
Kentucky,70
Louisiana,60
Maine,62
Maryland,66
Massachusetts,54
Michigan,70
Minnesota,54
Mississippi,40
Missouri,63
Montana,71
Nebraska,64
Nevada,57
New Hampshire,82
New Jersey,72
New Mexico,68
New York,55
North Carolina,60
North Dakota,49
Ohio,68
Oklahoma,84
Oregon,62
Pennsylvania,65
Rhode Island,61
South Carolina,61
South Dakota,69
Tennessee,68
Texas,72
Utah,71
Vermont,54
Virginia,93
Washington,60
West Virginia,86
Wisconsin,65
Wyoming,63
