date,reckless,isPartial
2014-01-05,48,False
2014-01-12,55,False
2014-01-19,57,False
2014-01-26,54,False
2014-02-02,54,False
2014-02-09,55,False
2014-02-16,52,False
2014-02-23,59,False
2014-03-02,61,False
2014-03-09,63,False
2014-03-16,73,False
2014-03-23,72,False
2014-03-30,63,False
2014-04-06,56,False
2014-04-13,61,False
2014-04-20,58,False
2014-04-27,56,False
2014-05-04,57,False
2014-05-11,70,False
2014-05-18,60,False
2014-05-25,63,False
2014-06-01,63,False
2014-06-08,70,False
2014-06-15,59,False
2014-06-22,64,False
2014-06-29,99,False
2014-07-06,84,False
2014-07-13,76,False
2014-07-20,78,False
2014-07-27,81,False
2014-08-03,73,False
2014-08-10,87,False
2014-08-17,77,False
2014-08-24,68,False
2014-08-31,75,False
2014-09-07,73,False
2014-09-14,100,False
2014-09-21,60,False
2014-09-28,55,False
2014-10-05,57,False
2014-10-12,53,False
2014-10-19,54,False
2014-10-26,45,False
2014-11-02,55,False
2014-11-09,68,False
2014-11-16,76,False
2014-11-23,71,False
2014-11-30,76,False
2014-12-07,57,False
2014-12-14,67,False
2014-12-21,73,False
2014-12-28,60,False
