date,isolation,isPartial
2015-01-04,94,False
2015-01-11,93,False
2015-01-18,81,False
2015-01-25,92,False
2015-02-01,92,False
2015-02-08,92,False
2015-02-15,99,False
2015-02-22,98,False
2015-03-01,96,False
2015-03-08,86,False
2015-03-15,94,False
2015-03-22,100,False
2015-03-29,96,False
2015-04-05,80,False
2015-04-12,90,False
2015-04-19,90,False
2015-04-26,88,False
2015-05-03,89,False
2015-05-10,80,False
2015-05-17,72,False
2015-05-24,69,False
2015-05-31,72,False
2015-06-07,67,False
2015-06-14,62,False
2015-06-21,64,False
2015-06-28,62,False
2015-07-05,66,False
2015-07-12,79,False
2015-07-19,69,False
2015-07-26,63,False
2015-08-02,64,False
2015-08-09,65,False
2015-08-16,66,False
2015-08-23,64,False
2015-08-30,68,False
2015-09-06,78,False
2015-09-13,76,False
2015-09-20,81,False
2015-09-27,83,False
2015-10-04,86,False
2015-10-11,79,False
2015-10-18,84,False
2015-10-25,80,False
2015-11-01,80,False
2015-11-08,75,False
2015-11-15,76,False
2015-11-22,67,False
2015-11-29,80,False
2015-12-06,74,False
2015-12-13,72,False
2015-12-20,55,False
2015-12-27,65,False
