date,isolation,isPartial
2012-01-01,63,False
2012-01-08,72,False
2012-01-15,82,False
2012-01-22,79,False
2012-01-29,84,False
2012-02-05,98,False
2012-02-12,99,False
2012-02-19,76,False
2012-02-26,93,False
2012-03-04,79,False
2012-03-11,89,False
2012-03-18,86,False
2012-03-25,86,False
2012-04-01,81,False
2012-04-08,91,False
2012-04-15,87,False
2012-04-22,100,False
2012-04-29,83,False
2012-05-06,93,False
2012-05-13,82,False
2012-05-20,70,False
2012-05-27,68,False
2012-06-03,67,False
2012-06-10,67,False
2012-06-17,67,False
2012-06-24,58,False
2012-07-01,57,False
2012-07-08,60,False
2012-07-15,64,False
2012-07-22,64,False
2012-07-29,55,False
2012-08-05,63,False
2012-08-12,61,False
2012-08-19,73,False
2012-08-26,66,False
2012-09-02,65,False
2012-09-09,77,False
2012-09-16,85,False
2012-09-23,73,False
2012-09-30,86,False
2012-10-07,86,False
2012-10-14,79,False
2012-10-21,90,False
2012-10-28,81,False
2012-11-04,76,False
2012-11-11,82,False
2012-11-18,64,False
2012-11-25,92,False
2012-12-02,96,False
2012-12-09,90,False
2012-12-16,70,False
2012-12-23,50,False
2012-12-30,53,False
