geoName,isolation
Alabama,69
Alaska,69
Arizona,77
Arkansas,84
California,83
Colorado,66
Connecticut,84
Delaware,77
District of Columbia,48
Florida,60
Georgia,57
Hawaii,76
Idaho,66
Illinois,66
Indiana,85
Iowa,68
Kansas,65
Kentucky,75
Louisiana,55
Maine,79
Maryland,84
Massachusetts,83
Michigan,68
Minnesota,71
Mississippi,72
Missouri,75
Montana,71
Nebraska,63
Nevada,68
New Hampshire,73
New Jersey,66
New Mexico,77
New York,70
North Carolina,76
North Dakota,100
Ohio,79
Oklahoma,66
Oregon,59
Pennsylvania,77
Rhode Island,73
South Carolina,73
South Dakota,95
Tennessee,71
Texas,66
Utah,68
Vermont,76
Virginia,67
Washington,70
West Virginia,82
Wisconsin,79
Wyoming,92
