geoName,isolation
Alabama,67
Alaska,97
Arizona,69
Arkansas,74
California,81
Colorado,85
Connecticut,86
Delaware,66
District of Columbia,54
Florida,67
Georgia,65
Hawaii,68
Idaho,86
Illinois,70
Indiana,88
Iowa,82
Kansas,91
Kentucky,70
Louisiana,60
Maine,100
Maryland,77
Massachusetts,83
Michigan,74
Minnesota,77
Mississippi,78
Missouri,73
Montana,79
Nebraska,70
Nevada,70
New Hampshire,96
New Jersey,74
New Mexico,76
New York,79
North Carolina,76
North Dakota,95
Ohio,78
Oklahoma,81
Oregon,75
Pennsylvania,76
Rhode Island,71
South Carolina,65
South Dakota,75
Tennessee,67
Texas,74
Utah,77
Vermont,83
Virginia,76
Washington,78
West Virginia,75
Wisconsin,80
Wyoming,75
