date,isolation,isPartial
2016-01-03,80,False
2016-01-10,83,False
2016-01-17,83,False
2016-01-24,86,False
2016-01-31,100,False
2016-02-07,96,False
2016-02-14,86,False
2016-02-21,93,False
2016-02-28,91,False
2016-03-06,93,False
2016-03-13,89,False
2016-03-20,90,False
2016-03-27,87,False
2016-04-03,91,False
2016-04-10,97,False
2016-04-17,95,False
2016-04-24,98,False
2016-05-01,92,False
2016-05-08,84,False
2016-05-15,85,False
2016-05-22,73,False
2016-05-29,72,False
2016-06-05,70,False
2016-06-12,66,False
2016-06-19,58,False
2016-06-26,65,False
2016-07-03,63,False
2016-07-10,63,False
2016-07-17,63,False
2016-07-24,61,False
2016-07-31,56,False
2016-08-07,55,False
2016-08-14,63,False
2016-08-21,58,False
2016-08-28,70,False
2016-09-04,65,False
2016-09-11,72,False
2016-09-18,79,False
2016-09-25,77,False
2016-10-02,83,False
2016-10-09,77,False
2016-10-16,74,False
2016-10-23,74,False
2016-10-30,80,False
2016-11-06,75,False
2016-11-13,83,False
2016-11-20,64,False
2016-11-27,91,False
2016-12-04,92,False
2016-12-11,76,False
2016-12-18,67,False
2016-12-25,61,False
