geoName,isolation
Alabama,69
Alaska,68
Arizona,70
Arkansas,68
California,71
Colorado,64
Connecticut,79
Delaware,50
District of Columbia,47
Florida,53
Georgia,51
Hawaii,89
Idaho,67
Illinois,58
Indiana,87
Iowa,79
Kansas,70
Kentucky,55
Louisiana,67
Maine,67
Maryland,94
Massachusetts,81
Michigan,65
Minnesota,58
Mississippi,56
Missouri,60
Montana,71
Nebraska,64
Nevada,49
New Hampshire,73
New Jersey,72
New Mexico,90
New York,62
North Carolina,63
North Dakota,100
Ohio,68
Oklahoma,64
Oregon,76
Pennsylvania,73
Rhode Island,85
South Carolina,71
South Dakota,69
Tennessee,80
Texas,59
Utah,69
Vermont,93
Virginia,80
Washington,68
West Virginia,71
Wisconsin,76
Wyoming,54
