geoName,isolation
Alabama,86
Alaska,80
Arizona,80
Arkansas,94
California,87
Colorado,86
Connecticut,79
Delaware,97
District of Columbia,75
Florida,73
Georgia,70
Hawaii,92
Idaho,91
Illinois,77
Indiana,98
Iowa,84
Kansas,69
Kentucky,80
Louisiana,71
Maine,67
Maryland,91
Massachusetts,84
Michigan,80
Minnesota,74
Mississippi,85
Missouri,76
Montana,87
Nebraska,69
Nevada,77
New Hampshire,90
New Jersey,79
New Mexico,100
New York,74
North Carolina,76
North Dakota,93
Ohio,83
Oklahoma,83
Oregon,55
Pennsylvania,84
Rhode Island,96
South Carolina,72
South Dakota,100
Tennessee,79
Texas,78
Utah,93
Vermont,87
Virginia,61
Washington,85
West Virginia,88
Wisconsin,84
Wyoming,82
