geoName,isolation
Alabama,75
Alaska,83
Arizona,83
Arkansas,81
California,82
Colorado,77
Connecticut,80
Delaware,86
District of Columbia,53
Florida,70
Georgia,66
Hawaii,79
Idaho,91
Illinois,72
Indiana,87
Iowa,77
Kansas,73
Kentucky,80
Louisiana,78
Maine,80
Maryland,100
Massachusetts,83
Michigan,76
Minnesota,75
Mississippi,84
Missouri,75
Montana,74
Nebraska,89
Nevada,67
New Hampshire,91
New Jersey,81
New Mexico,89
New York,67
North Carolina,72
North Dakota,79
Ohio,88
Oklahoma,87
Oregon,64
Pennsylvania,81
Rhode Island,85
South Carolina,64
South Dakota,89
Tennessee,69
Texas,75
Utah,79
Vermont,81
Virginia,58
Washington,79
West Virginia,85
Wisconsin,80
Wyoming,98
