geoName,siblings
Alabama,57
Alaska,52
Arizona,53
Arkansas,49
California,59
Colorado,59
Connecticut,67
Delaware,100
District of Columbia,52
Florida,64
Georgia,70
Hawaii,44
Idaho,69
Illinois,69
Indiana,66
Iowa,81
Kansas,69
Kentucky,69
Louisiana,62
Maine,50
Maryland,65
Massachusetts,69
Michigan,62
Minnesota,62
Mississippi,72
Missouri,81
Montana,59
Nebraska,68
Nevada,66
New Hampshire,69
New Jersey,83
New Mexico,53
New York,65
North Carolina,59
North Dakota,59
Ohio,64
Oklahoma,69
Oregon,64
Pennsylvania,72
Rhode Island,58
South Carolina,63
South Dakota,80
Tennessee,68
Texas,57
Utah,62
Vermont,37
Virginia,66
Washington,58
West Virginia,64
Wisconsin,78
Wyoming,75
