geoName,siblings
Alabama,86
Alaska,75
Arizona,82
Arkansas,95
California,76
Colorado,72
Connecticut,79
Delaware,75
District of Columbia,65
Florida,68
Georgia,82
Hawaii,77
Idaho,78
Illinois,80
Indiana,100
Iowa,93
Kansas,82
Kentucky,79
Louisiana,85
Maine,87
Maryland,88
Massachusetts,70
Michigan,84
Minnesota,81
Mississippi,96
Missouri,85
Montana,75
Nebraska,86
Nevada,67
New Hampshire,76
New Jersey,87
New Mexico,85
New York,71
North Carolina,76
North Dakota,79
Ohio,89
Oklahoma,78
Oregon,69
Pennsylvania,85
Rhode Island,69
South Carolina,88
South Dakota,83
Tennessee,79
Texas,75
Utah,73
Vermont,59
Virginia,79
Washington,67
West Virginia,87
Wisconsin,83
Wyoming,84
