date,siblings,isPartial
2013-01-06,35,False
2013-01-13,33,False
2013-01-20,38,False
2013-01-27,33,False
2013-02-03,39,False
2013-02-10,33,False
2013-02-17,40,False
2013-02-24,39,False
2013-03-03,39,False
2013-03-10,35,False
2013-03-17,37,False
2013-03-24,34,False
2013-03-31,38,False
2013-04-07,100,False
2013-04-14,38,False
2013-04-21,37,False
2013-04-28,38,False
2013-05-05,37,False
2013-05-12,45,False
2013-05-19,39,False
2013-05-26,38,False
2013-06-02,36,False
2013-06-09,33,False
2013-06-16,32,False
2013-06-23,34,False
2013-06-30,36,False
2013-07-07,36,False
2013-07-14,37,False
2013-07-21,40,False
2013-07-28,35,False
2013-08-04,34,False
2013-08-11,33,False
2013-08-18,34,False
2013-08-25,35,False
2013-09-01,33,False
2013-09-08,34,False
2013-09-15,33,False
2013-09-22,35,False
2013-09-29,37,False
2013-10-06,37,False
2013-10-13,33,False
2013-10-20,37,False
2013-10-27,35,False
2013-11-03,53,False
2013-11-10,43,False
2013-11-17,44,False
2013-11-24,42,False
2013-12-01,49,False
2013-12-08,41,False
2013-12-15,43,False
2013-12-22,43,False
2013-12-29,47,False
