date,siblings,isPartial
2011-01-02,39,False
2011-01-09,36,False
2011-01-16,39,False
2011-01-23,49,False
2011-01-30,37,False
2011-02-06,40,False
2011-02-13,42,False
2011-02-20,41,False
2011-02-27,39,False
2011-03-06,35,False
2011-03-13,32,False
2011-03-20,33,False
2011-03-27,40,False
2011-04-03,39,False
2011-04-10,45,False
2011-04-17,39,False
2011-04-24,46,False
2011-05-01,40,False
2011-05-08,45,False
2011-05-15,36,False
2011-05-22,36,False
2011-05-29,32,False
2011-06-05,32,False
2011-06-12,34,False
2011-06-19,30,False
2011-06-26,34,False
2011-07-03,33,False
2011-07-10,31,False
2011-07-17,30,False
2011-07-24,34,False
2011-07-31,34,False
2011-08-07,100,False
2011-08-14,38,False
2011-08-21,31,False
2011-08-28,30,False
2011-09-04,32,False
2011-09-11,31,False
2011-09-18,39,False
2011-09-25,38,False
2011-10-02,36,False
2011-10-09,42,False
2011-10-16,38,False
2011-10-23,35,False
2011-10-30,36,False
2011-11-06,33,False
2011-11-13,37,False
2011-11-20,37,False
2011-11-27,41,False
2011-12-04,37,False
2011-12-11,35,False
2011-12-18,34,False
2011-12-25,35,False
