geoName,siblings
Alabama,90
Alaska,77
Arizona,75
Arkansas,84
California,74
Colorado,75
Connecticut,80
Delaware,100
District of Columbia,63
Florida,72
Georgia,79
Hawaii,83
Idaho,93
Illinois,86
Indiana,91
Iowa,77
Kansas,78
Kentucky,79
Louisiana,86
Maine,91
Maryland,76
Massachusetts,80
Michigan,88
Minnesota,77
Mississippi,85
Missouri,89
Montana,64
Nebraska,76
Nevada,83
New Hampshire,79
New Jersey,92
New Mexico,78
New York,77
North Carolina,81
North Dakota,77
Ohio,81
Oklahoma,91
Oregon,39
Pennsylvania,79
Rhode Island,82
South Carolina,84
South Dakota,98
Tennessee,85
Texas,77
Utah,85
Vermont,87
Virginia,66
Washington,73
West Virginia,93
Wisconsin,76
Wyoming,84
