date,siblings,isPartial
2016-01-03,32,False
2016-01-10,27,False
2016-01-17,26,False
2016-01-24,26,False
2016-01-31,26,False
2016-02-07,28,False
2016-02-14,29,False
2016-02-21,30,False
2016-02-28,25,False
2016-03-06,28,False
2016-03-13,26,False
2016-03-20,25,False
2016-03-27,24,False
2016-04-03,25,False
2016-04-10,100,False
2016-04-17,36,False
2016-04-24,37,False
2016-05-01,30,False
2016-05-08,27,False
2016-05-15,27,False
2016-05-22,23,False
2016-05-29,23,False
2016-06-05,23,False
2016-06-12,21,False
2016-06-19,22,False
2016-06-26,23,False
2016-07-03,23,False
2016-07-10,21,False
2016-07-17,23,False
2016-07-24,25,False
2016-07-31,22,False
2016-08-07,21,False
2016-08-14,18,False
2016-08-21,20,False
2016-08-28,20,False
2016-09-04,22,False
2016-09-11,21,False
2016-09-18,20,False
2016-09-25,22,False
2016-10-02,21,False
2016-10-09,23,False
2016-10-16,26,False
2016-10-23,22,False
2016-10-30,23,False
2016-11-06,24,False
2016-11-13,26,False
2016-11-20,24,False
2016-11-27,29,False
2016-12-04,26,False
2016-12-11,25,False
2016-12-18,26,False
2016-12-25,28,False
