geoName,siblings
Alabama,84
Alaska,68
Arizona,71
Arkansas,94
California,73
Colorado,68
Connecticut,79
Delaware,91
District of Columbia,77
Florida,71
Georgia,81
Hawaii,91
Idaho,76
Illinois,79
Indiana,84
Iowa,86
Kansas,79
Kentucky,83
Louisiana,72
Maine,88
Maryland,91
Massachusetts,81
Michigan,77
Minnesota,75
Mississippi,90
Missouri,77
Montana,49
Nebraska,86
Nevada,64
New Hampshire,80
New Jersey,89
New Mexico,62
New York,72
North Carolina,72
North Dakota,83
Ohio,76
Oklahoma,79
Oregon,73
Pennsylvania,84
Rhode Island,90
South Carolina,84
South Dakota,100
Tennessee,79
Texas,67
Utah,77
Vermont,82
Virginia,85
Washington,64
West Virginia,91
Wisconsin,78
Wyoming,66
